,title,discounted price,brand,percent dicount,original cost,image link
101,Solid Men Red Track Pants,₹229,LAHEJA,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/b/c/x/m-grey-135-laheja-original-imagczpykuhgwtuj.jpeg?q=50
102,Solid Men Dark Blue Track Pants,₹229,Fruzis Fashion,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/f/b/d/xl-grey-120-laheja-original-imagczp8vqvcj3xp.jpeg?q=50
103,Solid Men Black Track Pants,₹229,Vitaan,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/l1whaq80/track-pant/m/c/q/l-vit9018-vitaan-original-imagdczynjmh8m9m.jpeg?q=50
104,Solid Men Black Track Pants,₹229,Foxter,85% off,"₹1,599",https://rukminim1.flixcart.com/image/660/792/l2f20sw0/track-pant/m/x/z/xl-solid-men-black-track-pants-foxter-original-imagdrkzcchcyr6g.jpeg?q=50
105,Camouflage Men Dark Green Track Pants,₹229,Foxter,82% off,"₹1,330",https://rukminim1.flixcart.com/image/660/792/ky0g58w0/track-pant/g/a/i/l-camouflage-men-dark-green-track-pants-foxter-original-imagac2wzgpd26rz.jpeg?q=50
106,Solid Men Blue Track Pants,₹229,MRB,61% off,₹599,https://rukminim1.flixcart.com/image/660/792/kyrlifk0/track-pant/k/t/o/32-deep2-mrb-original-imagaxdqtbfbqpzp.jpeg?q=50
107,"Signature-04 Dark Grey Men Workout Jogger Pants, Stretch Gym Track Pants, Regular Fit Tapered Sweatpants for Jogging Training and Running Solid Men Grey Track Pants",₹229,Kraasa,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/ksyz8280/track-pant/x/4/n/xl-ktp1607-kraasa-original-imag6ezgtar5nuy3.jpeg?q=50
108,"Signature-04 Navy Men Workout Jogger Pants, Stretch Gym Track Pants, Regular Fit Tapered Sweatpants for Jogging Training and Running Solid Men Dark Blue Track Pants",₹229,Kraasa,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/ksyz8280/track-pant/f/x/a/l-ktp1607-kraasa-original-imag6ezg2nmhjmws.jpeg?q=50
109,Solid Men Blue Track Pants,₹229,Kizaar,88% off,"₹1,999",https://rukminim1.flixcart.com/image/660/792/kjrh2fk0-0/track-pant/v/r/y/l-solid-blue-trackpants-kizaar-original-imafz8nggtyuccqj.jpeg?q=50
110,Solid Men Black Track Pants,₹229,BWD,78% off,"₹1,083",https://rukminim1.flixcart.com/image/660/792/l1nwnm80/track-pant/m/c/l/28-tpd-bor-bwd-original-imagd6qy3fheh2fg.jpeg?q=50
